frequency,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N,rows,cols,easymore_case
968,71027770,2.952608913195838,71027770,51.04787461773699,-114.03392201834852,197,2952611.5145003796,197,51.037967681884766,-114.00320434570312,124,100121728.70183694,124,2952611.514500379,0.9999999999999999,0.029490217086575406,1.0,0.21816352580558168,5.0,18.0,2
862,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,51.06660079956055,-114.31912231445312,143,100154828.58904183,143,23926625.07018811,0.17330916805943153,0.23889637082166576,0.17330916805943172,0.23889637082166593,6.0,16.0,2
854,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,50.98128128051758,-114.27359008789062,122,100138123.78605348,122,31425170.367793076,0.22762383397539904,0.3138182460351803,0.2276238339753993,0.5225565511788346,5.0,16.0,2
856,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,50.924320220947266,-114.09332275390625,102,100115801.99079466,102,3114070.301717921,0.02255633344385719,0.031104683174832386,0.022556333443857213,1.0,4.0,17.0,2
859,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,51.037967681884766,-114.00320434570312,124,100121728.70183694,124,4685495.428873253,0.0339387319499594,0.046797987705812435,0.03393873194995944,0.3462034195453226,5.0,18.0,2
858,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,51.00971603393555,-114.13845825195312,123,100132974.44630602,123,65819427.84587073,0.4767538358900676,0.6573202105482732,0.47675383589006814,0.7566708548581343,5.0,17.0,2
860,71027787,138.05745099694408,71027787,51.01481775639751,-114.19465930361912,175,138057468.84655946,175,51.09508514404297,-114.18376159667969,144,100149526.33065589,144,9086679.832116218,0.06581809668128409,0.0907311313896327,0.06581809668128416,0.11399709082095148,6.0,17.0,2
961,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.12339782714844,-114.04826354980469,145,100136789.494688,145,76437.70553462551,0.0004994004193853898,0.000763332896134845,0.0004994004193853885,1.0,6.0,18.0,2
960,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.09508514404297,-114.18376159667969,144,100149526.33065589,144,70623072.11574823,0.46141091737653883,0.7051762969160487,0.4614109173765376,0.8860029091790484,6.0,17.0,2
965,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.06660079956055,-114.31912231445312,143,100154828.58904183,143,24970990.321480095,0.16314622412843946,0.2493238785714644,0.16314622412843902,0.24932387857146457,6.0,16.0,2
966,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.151912689208984,-114.36483764648438,164,100172383.97374637,164,6978661.880240263,0.045594600797666335,0.06966652487844616,0.04559460079766621,0.0764856532189941,7.0,16.0,2
962,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.180450439453125,-114.22923278808594,165,100166756.31740412,165,23347842.216971066,0.15254149916388363,0.2330897303191832,0.1525414991638832,0.9571679755791219,7.0,17.0,2
958,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.00971603393555,-114.13845825195312,123,100132974.44630602,123,21166118.67449974,0.13828736052284865,0.21138010522047937,0.1382873605228483,0.24332914514186574,5.0,17.0,2
959,71027942,153.0589537969071,71027942,51.097534415293644,-114.2095544574877,196,153058953.4319917,196,51.037967681884766,-114.00320434570312,124,100121728.70183694,124,5895830.517518087,0.03851999759124034,0.05888662325313922,0.03851999759124024,0.43563305464909585,5.0,18.0,2
951,71027957,93.45949090381235,71027957,51.15615970736236,-114.40650772077963,195,93459486.100711,195,51.180450439453125,-114.22923278808594,165,100166756.31740412,165,1044785.6317038327,0.011179021791089051,0.010430462861282647,0.011179021791089061,0.04283202442087802,7.0,17.0,2
953,71027957,93.45949090381235,71027957,51.15615970736236,-114.40650772077963,195,93459486.100711,195,51.12320327758789,-114.500244140625,163,100162080.86059882,163,27904130.486869227,0.29856926943510065,0.2785897641813669,0.2985692694351009,0.27858976418136616,7.0,15.0,2
954,71027957,93.45949090381235,71027957,51.15615970736236,-114.40650772077963,195,93459486.100711,195,51.151912689208984,-114.36483764648438,164,100172383.97374637,164,57356424.96186904,0.6137036201981929,0.5725772182570924,0.6137036201981935,0.6286224644206058,7.0,16.0,2
955,71027957,93.45949090381235,71027957,51.15615970736236,-114.40650772077963,195,93459486.100711,195,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,1753110.9488515907,0.01875797762211592,0.017501172541527346,0.018757977622115937,0.017501172541527093,8.0,15.0,2
956,71027957,93.45949090381235,71027957,51.15615970736236,-114.40650772077963,195,93459486.100711,195,51.23719787597656,-114.41070556640625,185,100175410.42585108,185,5401034.071417227,0.057790110953500506,0.053915766837960934,0.057790110953500555,0.06673305758449115,8.0,16.0,2
948,71027962,1.98245853684991,71027962,51.18464804722978,-114.49179609445949,194,1982457.6480419594,194,51.12320327758789,-114.500244140625,163,100162080.86059882,163,6066.423108955967,0.003060051807385481,6.056606509003091e-05,0.003060051807385483,6.0566065090030746e-05,7.0,15.0,2
949,71027962,1.98245853684991,71027962,51.18464804722978,-114.49179609445949,194,1982457.6480419594,194,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,1976391.2249330021,0.9969399481926139,0.01973016246334629,0.9969399481926146,0.019730162463346006,8.0,15.0,2
946,71027963,7.289864640089808,71027963,51.20096172839504,-114.50673703703704,193,7289864.936816189,193,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,7289864.936816186,0.9999999999999994,0.07277416420633556,1.0,0.07277416420633451,8.0,15.0,2
943,71027969,29.50940301982819,71027969,51.194097120546544,-114.57298117984375,192,29509403.056174364,192,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,22940850.370863326,0.7774081477416849,0.22901675495943122,0.7774081477416853,0.22901675495942792,8.0,15.0,2
940,71027969,29.50940301982819,71027969,51.194097120546544,-114.57298117984375,192,29509403.056174364,192,51.17950439453125,-114.68180847167969,183,100161644.94952984,183,6568552.685311019,0.22259185225831454,0.06557952086969845,0.22259185225831465,0.06557952086969888,8.0,14.0,2
938,71027979,15.838976244142227,71027979,51.21367785730516,-114.59395961145196,191,15838978.599785533,191,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,15318766.865663936,0.9671562322756948,0.15292607818976794,0.967156232275696,0.15292607818976572,8.0,15.0,2
939,71027979,15.838976244142227,71027979,51.21367785730516,-114.59395961145196,191,15838978.599785533,191,51.293643951416016,-114.5926513671875,205,100181747.9899743,205,113317.44804255791,0.007154340624217542,0.0011311186949333142,0.00715434062421755,0.0011311210834547521,9.0,15.0,2
937,71027979,15.838976244142227,71027979,51.21367785730516,-114.59395961145196,191,15838978.599785533,191,51.17950439453125,-114.68180847167969,183,100161644.94952984,183,406894.2860790211,0.025689427100086534,0.0040623762347757955,0.025689427100086565,0.004062376234775822,8.0,14.0,2
936,71027981,10.715802745890509,71027981,51.21400713685979,-114.64151889168762,190,10715797.766105698,190,51.208438873291016,-114.54634094238281,184,100171056.80729406,184,1593408.2791535128,0.1486971211974061,0.01590687300243684,0.1486971211974059,0.015906873002436612,8.0,15.0,2
935,71027981,10.715802745890509,71027981,51.21400713685979,-114.64151889168762,190,10715797.766105698,190,51.264652252197266,-114.72833251953125,204,100177146.42816894,204,219.78324144689103,2.051020803528695e-05,2.1939459176398532e-06,2.0510208035286922e-05,2.1939459176397588e-06,9.0,14.0,2
934,71027981,10.715802745890509,71027981,51.21400713685979,-114.64151889168762,190,10715797.766105698,190,51.17950439453125,-114.68180847167969,183,100161644.94952984,183,9122169.703710753,0.85128236859456,0.09107447974029677,0.8512823685945589,0.09107447974029738,8.0,14.0,2
933,71027992,12.580456095759931,71027992,51.20581509299001,-114.68399427753936,189,12580455.083097301,189,51.264652252197266,-114.72833251953125,204,100177146.42816894,204,1052128.4991736964,0.08363199043469442,0.01050267986948615,0.08363199043469441,0.010502679869485698,9.0,14.0,2
932,71027992,12.580456095759931,71027992,51.20581509299001,-114.68399427753936,189,12580455.083097301,189,51.17950439453125,-114.68180847167969,183,100161644.94952984,183,11528326.583923608,0.9163680095653058,0.11509721700090472,0.9163680095653056,0.11509721700090549,8.0,14.0,2
930,71028007,85.1511985349633,71028007,51.186092996701376,-114.78237651188368,188,85151199.45418578,188,51.264652252197266,-114.72833251953125,204,100177146.42816894,204,6402994.8677218305,0.07519559217914315,0.06391672248633112,0.07519559217914304,0.06391672248632838,9.0,14.0,2
928,71028007,85.1511985349633,71028007,51.186092996701376,-114.78237651188368,188,85151199.45418578,188,51.17950439453125,-114.68180847167969,183,100161644.94952984,183,22849469.659909375,0.2683399624006842,0.2281259425344195,0.26833996240068375,0.22812594253442103,8.0,14.0,2
927,71028007,85.1511985349633,71028007,51.186092996701376,-114.78237651188368,188,85151199.45418578,188,51.15040969848633,-114.81707763671875,182,100158479.62581196,182,38627081.22887948,0.4536293261454544,0.3856596203655317,0.4536293261454537,0.3856596203655356,8.0,13.0,2
929,71028007,85.1511985349633,71028007,51.186092996701376,-114.78237651188368,188,85151199.45418578,188,51.235511779785156,-114.86386108398438,203,100182188.53279316,203,17271653.697675228,0.20283511927471978,0.17240243950172446,0.20283511927471948,0.17240243950172546,9.0,13.0,2
924,71028014,18.173335026966104,71028014,51.1664030131827,-114.86391540291406,187,18173339.697836705,187,51.235511779785156,-114.86386108398438,203,100182188.53279316,203,2495806.945842261,0.1373334228787543,0.024912681409682873,0.13733342287875422,0.024912681409683016,9.0,13.0,2
923,71028014,18.173335026966104,71028014,51.1664030131827,-114.86391540291406,187,18173339.697836705,187,51.15040969848633,-114.81707763671875,182,100158479.62581196,182,15677532.751994455,0.8626665771212464,0.15652726369814204,0.8626665771212458,0.15652726369814363,8.0,13.0,2
919,71028023,41.64216647662346,71028023,51.136510950958886,-114.93707667835369,186,41642166.43786874,186,51.15040969848633,-114.81707763671875,182,100158479.62581196,182,3447220.317383051,0.08278196386651494,0.03441765819790523,0.08278196386651479,0.03441765819790558,8.0,13.0,2
918,71028023,41.64216647662346,71028023,51.136510950958886,-114.93707667835369,186,41642166.43786874,186,51.121150970458984,-114.95217895507812,181,100177459.98246913,181,35793780.88386682,0.8595561649577509,0.3573037376884048,0.8595561649577493,0.3573037376884035,8.0,12.0,2
920,71028023,41.64216647662346,71028023,51.136510950958886,-114.93707667835369,186,41642166.43786874,186,51.20618438720703,-114.99920654296875,202,100195784.95705707,202,2401165.236618938,0.057661871175735846,0.023964733023929635,0.05766187117573574,0.02396473302393002,9.0,12.0,2
